# MINERAL RESOURCES TASMANIA
#
# TASMANIAN GRAVITY DATABASE
#
# GRAVITY DATUM ISOGAL65
#
# BOUGUER AND TERRAIN CORRECTION DENSITY 2.67 TONNES/CUBIC METRE
#
# COORDINATES ARE AGD66, ZONE 55
#
# easting [m], northing [m],  Bouguer Anomaly [milligal]
5.380000000000000000e+05,5.287820000000000000e+06,2.779999999999999805e+00
5.379300000000000000e+05,5.284800000000000000e+06,2.270000000000000018e+00
5.380800000000000000e+05,5.286270000000000000e+06,4.200000000000000178e+00
5.379300000000000000e+05,5.283920000000000000e+06,4.379999999999999893e+00
5.361000000000000000e+05,5.285050000000000000e+06,1.800000000000000044e+00
5.361200000000000000e+05,5.286220000000000000e+06,2.029999999999999805e+00
5.342000000000000000e+05,5.289850000000000000e+06,-5.200000000000000178e-01
5.322300000000000000e+05,5.289950000000000000e+06,-3.359999999999999876e+00
5.327700000000000000e+05,5.290100000000000000e+06,-4.099999999999999645e+00
5.160000000000000000e+05,5.290130000000000000e+06,-9.480000000000000426e+00
5.151500000000000000e+05,5.289950000000000000e+06,-9.560000000000000497e+00
5.148600000000000000e+05,5.288830000000000000e+06,-8.550000000000000711e+00
5.139400000000000000e+05,5.287130000000000000e+06,-8.919999999999999929e+00
5.151500000000000000e+05,5.287100000000000000e+06,-8.839999999999999858e+00
5.159500000000000000e+05,5.286680000000000000e+06,-7.530000000000000249e+00
5.169600000000000000e+05,5.286200000000000000e+06,-6.969999999999999751e+00
5.158000000000000000e+05,5.292000000000000000e+06,-1.168999999999999950e+01
5.170000000000000000e+05,5.289000000000000000e+06,-9.599999999999999645e+00
5.169700000000000000e+05,5.290000000000000000e+06,-8.480000000000000426e+00
5.189300000000000000e+05,5.288030000000000000e+06,-6.530000000000000249e+00
5.340000000000000000e+05,5.287850000000000000e+06,-2.999999999999999889e-02
5.340300000000000000e+05,5.287030000000000000e+06,1.239999999999999991e+00
5.338800000000000000e+05,5.286100000000000000e+06,-5.000000000000000278e-02
5.332000000000000000e+05,5.287100000000000000e+06,-1.560000000000000053e+00
5.351000000000000000e+05,5.291200000000000000e+06,-1.300000000000000044e-01
5.358000000000000000e+05,5.292000000000000000e+06,1.879999999999999893e+00
5.349000000000000000e+05,5.293200000000000000e+06,1.780000000000000027e+00
5.329800000000000000e+05,5.292250000000000000e+06,-4.740000000000000213e+00
5.299200000000000000e+05,5.291130000000000000e+06,-3.830000000000000071e+00
5.300200000000000000e+05,5.292000000000000000e+06,-2.930000000000000160e+00
5.306700000000000000e+05,5.293000000000000000e+06,-7.009999999999999787e+00
5.311500000000000000e+05,5.294050000000000000e+06,-5.690000000000000391e+00
5.320000000000000000e+05,5.292900000000000000e+06,-3.359999999999999876e+00
5.319500000000000000e+05,5.294070000000000000e+06,-7.200000000000000178e+00
5.321800000000000000e+05,5.291980000000000000e+06,-3.830000000000000071e+00
5.328800000000000000e+05,5.291070000000000000e+06,-2.140000000000000124e+00
5.320000000000000000e+05,5.291050000000000000e+06,-4.379999999999999893e+00
5.338500000000000000e+05,5.291180000000000000e+06,-3.729999999999999982e+00
5.298800000000000000e+05,5.293100000000000000e+06,-4.830000000000000071e+00
5.287500000000000000e+05,5.292900000000000000e+06,-4.740000000000000213e+00
5.291200000000000000e+05,5.292100000000000000e+06,-4.830000000000000071e+00
5.290700000000000000e+05,5.290830000000000000e+06,-2.359999999999999876e+00
5.310000000000000000e+05,5.291000000000000000e+06,-4.230000000000000426e+00
5.309000000000000000e+05,5.288900000000000000e+06,-2.970000000000000195e+00
5.351600000000000000e+05,5.287500000000000000e+06,1.419999999999999929e+00
5.359200000000000000e+05,5.287850000000000000e+06,1.290000000000000036e+00
5.360000000000000000e+05,5.287000000000000000e+06,-2.200000000000000011e-01
5.371100000000000000e+05,5.286900000000000000e+06,2.180000000000000160e+00
5.351100000000000000e+05,5.285950000000000000e+06,1.020000000000000018e+00
5.350500000000000000e+05,5.285080000000000000e+06,5.999999999999999778e-01
5.380700000000000000e+05,5.290900000000000000e+06,3.410000000000000142e+00
5.380700000000000000e+05,5.289800000000000000e+06,4.179999999999999716e+00
5.390000000000000000e+05,5.288930000000000000e+06,5.980000000000000426e+00
5.391300000000000000e+05,5.288200000000000000e+06,5.540000000000000036e+00
5.321400000000000000e+05,5.283040000000000000e+06,2.049999999999999822e+00
5.311500000000000000e+05,5.283370000000000000e+06,9.499999999999999556e-01
5.310800000000000000e+05,5.283800000000000000e+06,1.520000000000000018e+00
5.308700000000000000e+05,5.284850000000000000e+06,-1.159999999999999920e+00
5.299500000000000000e+05,5.284060000000000000e+06,2.560000000000000053e+00
5.320000000000000000e+05,5.282340000000000000e+06,2.209999999999999964e+00
5.298600000000000000e+05,5.287070000000000000e+06,3.089999999999999858e+00
5.300500000000000000e+05,5.285000000000000000e+06,1.419999999999999929e+00
5.292000000000000000e+05,5.284760000000000000e+06,1.850000000000000089e+00
5.351800000000000000e+05,5.283720000000000000e+06,1.739999999999999991e+00
5.289700000000000000e+05,5.281950000000000000e+06,-3.699999999999999956e-01
5.278500000000000000e+05,5.286000000000000000e+06,-2.649999999999999911e+00
5.268500000000000000e+05,5.283850000000000000e+06,1.040000000000000036e+00
5.268200000000000000e+05,5.282920000000000000e+06,4.099999999999999756e-01
5.280700000000000000e+05,5.282230000000000000e+06,1.399999999999999911e+00
5.300000000000000000e+05,5.281650000000000000e+06,-3.800000000000000044e-01
5.302500000000000000e+05,5.288960000000000000e+06,-2.359999999999999876e+00
5.310500000000000000e+05,5.287000000000000000e+06,-7.500000000000000000e-01
5.312000000000000000e+05,5.286000000000000000e+06,2.999999999999999889e-02
5.320000000000000000e+05,5.285920000000000000e+06,4.799999999999999822e-01
5.322000000000000000e+05,5.285060000000000000e+06,-4.199999999999999845e-01
5.308500000000000000e+05,5.289750000000000000e+06,-1.810000000000000053e+00
5.302000000000000000e+05,5.290000000000000000e+06,-2.919999999999999929e+00
5.291800000000000000e+05,5.289820000000000000e+06,-1.840000000000000080e+00
5.291300000000000000e+05,5.288850000000000000e+06,-1.350000000000000089e+00
5.271400000000000000e+05,5.290200000000000000e+06,-4.519999999999999574e+00
5.267300000000000000e+05,5.291080000000000000e+06,-5.009999999999999787e+00
5.259000000000000000e+05,5.291130000000000000e+06,-4.950000000000000178e+00
5.282800000000000000e+05,5.289030000000000000e+06,-2.770000000000000018e+00
5.277200000000000000e+05,5.287810000000000000e+06,-1.070000000000000062e+00
5.277000000000000000e+05,5.286810000000000000e+06,-7.700000000000000178e-01
5.270000000000000000e+05,5.287800000000000000e+06,-2.750000000000000000e+00
5.271000000000000000e+05,5.289000000000000000e+06,-3.990000000000000213e+00
5.261200000000000000e+05,5.289750000000000000e+06,-3.629999999999999893e+00
5.259700000000000000e+05,5.289250000000000000e+06,-9.460000000000000853e+00
5.270300000000000000e+05,5.293000000000000000e+06,-3.970000000000000195e+00
5.269000000000000000e+05,5.292230000000000000e+06,-8.410000000000000142e+00
5.278700000000000000e+05,5.292380000000000000e+06,-5.519999999999999574e+00
5.280000000000000000e+05,5.291000000000000000e+06,-2.919999999999999929e+00
5.291000000000000000e+05,5.288000000000000000e+06,-1.280000000000000027e+00
5.247500000000000000e+05,5.289100000000000000e+06,-3.299999999999999822e+00
5.247900000000000000e+05,5.290000000000000000e+06,-5.660000000000000142e+00
5.240000000000000000e+05,5.290000000000000000e+06,-4.540000000000000036e+00
5.237600000000000000e+05,5.289220000000000000e+06,-2.660000000000000142e+00
5.230200000000000000e+05,5.290500000000000000e+06,-5.959999999999999964e+00
5.231000000000000000e+05,5.290880000000000000e+06,-5.450000000000000178e+00
5.219300000000000000e+05,5.291180000000000000e+06,-5.780000000000000249e+00
5.248700000000000000e+05,5.291100000000000000e+06,-1.899999999999999911e+00
5.280000000000000000e+05,5.292750000000000000e+06,-6.759999999999999787e+00
